Bin Name,Item Code,UOM,Inv Description,Manufacturer
C-33-D,SPI MB523/LTR,LTR,Permacron Mixing Color 293 Transparent Red Yellow,SPIES HECKER
C-33-D,SPI MB524/LTR,LTR,Permacron Mixing Color 293 Transparent Red,SPIES HECKER
C-33-D,SPI MB525/LTR,LTR,Permacron Mixing Color 293 Transparent Black,SPIES HECKER
C-33-D,SPI MB527/LTR,LTR,Permacron Mixing Color 293 Transparent Black,SPIES HECKER
C-33-E,SPI MB528/LTR,LTR,Permacron Mixing Color 293 Brilliant Yellow ,SPIES HECKER
C-33-E,SPI MB529/3.5LTR,3.5LTR,Permacron Mixing Color 293 Brilliant Red,SPIES HECKER
C-33-E,SPI MB530/LTR,LTR,Permacron Mixing Color 293 Transparent Copper,SPIES HECKER
C-33-E,SPI MB531/LTR,LTR,Permacron Mixing Color 293 Transparent Oxide,SPIES HECKER
C-33-E,SPI MB532/LTR,LTR,Permacron Mixing Color 293 Transparent Ochre,SPIES HECKER
C-33-E,SPI MB533/LTR,LTR,Permacron Mixing Color 293 Dark Yellow,SPIES HECKER
C-33-E,SPI MB535/LTR,LTR,Permacron Mixing Color 293 Blood Orange,SPIES HECKER
C-33-E,SPI MB536/LTR,CS,Permacron Mixing Color 293 Dark Red,SPIES HECKER
C-33-E,SPI MB536/LTR,LTR,Permacron Mixing Color 293 Dark Red,SPIES HECKER
C-33-F,SPI MB538/LTR,LTR,Permacron Mixing Color 293 Transparent Green,SPIES HECKER
C-33-F,SPI MB539/HL ,HL,Permacron Mixing Color 293 Blue Effect (JS),SPIES HECKER
C-33-F,SPI MB542/LTR,LTR,Permacron Mixing Color 293 Micro White,SPIES HECKER
C-33-F,SPI MB543/LTR,LTR,Permacron Mixing Color 293 Granada Red ,SPIES HECKER
C-33-F,SPI MB544/LTR,LTR,Permacron Mixing Color 293 Hi-Light Red,SPIES HECKER
C-33-F,SPI MB546/HL,HL,Permacron Mixing Color 293 Magenta,SPIES HECKER
C-33-F,SPI MB547/LTR,LTR,Permacron Mixing Color 293 Deep Blue,SPIES HECKER
C-33-G,,,,
C-33-H,,,,
C-34-G,,,,
C-34-H,,,,
C-35-G,,,,
C-35-H,,,,
C-36-D,SPI MB604/HL,HL,Permacron Mixing Color 295 Fantasy Silver (LU),SPIES HECKER
C-36-D,SPI MB605/HL,HL,Permacron Mixing Color 295 Fantasy Red (LU),SPIES HECKER
C-36-D,SPI MB606/HL,HL,Permacron Mixing Color 295 Magic Fire (LU),SPIES HECKER
C-36-D,SPI MB607/HL,HL,Permacron Mixing Color 295 Gold Pearl Special (LU),SPIES HECKER
C-36-D,SPI MB608/HL,HL,Permacron Mixing Color 295 Brass Pearl (LU),SPIES HECKER
C-36-D,SPI MB609/HL,HL,Permacron Mixing Color 295 Magic Green (LU),SPIES HECKER
C-36-D,SPI MB610/HL,HL,Permacron Mixing Color 295 Magic Gold (LU),SPIES HECKER
C-36-D,SPI MB611/HL,HL,Permacron Mixing Color 295 Magic Sunlight (LU),SPIES HECKER
C-36-D,SPI MB612/HL,HL,Permacron Mixing Color 295 Rainbow Silver (LU),SPIES HECKER
C-36-D,SPI MB613/HL,HL,Permacron Mixing Color 295 Diamond Yellow (JS),SPIES HECKER
C-36-E,SPI MB619/HL,HL,Permacron Mixing Color 295 Orange Pearl (JS),SPIES HECKER
C-36-E,SPI MB799/3.5LTR,3.5LTR,Permacron Effect Additive MB 799,SPIES HECKER
C-36-F,,,,
C-36-G,,,,
C-36-H,,,,
D-01-D,,,,
D-01-E,,,,
D-01-F,,,,
D-01-G,,,,
D-01-H,,,,
D-02-D,,,,
D-02-E,,,,
D-02-F,,,,
D-02-G,,,,
D-02-H,,,,
D-03-F,,,,
D-03-G,,,,
D-03-H,,,,
D-04-F,,,,
D-04-G,,,,
D-04-H,,,,
D-05-F,,,,
D-05-G,,,,
D-05-H,,,,
D-07-F,,,,
D-07-G,,,,
D-07-H,,,,
D-08-F,,,,
D-08-G,,,,
